accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,state
-3.359065,5.3226094,7.51091,0.05085453,0.0061086523,0.04795292,SIT
-3.53863,5.1885343,7.472603,0.05085453,0.0061086523,0.04795292,SIT
-3.53863,5.1885343,7.472603,-0.017562376,-0.01282817,-0.03634648,SIT
-3.5913026,5.171775,7.4821796,-0.017562376,-0.01282817,-0.03634648,SIT
-3.5913026,5.171775,7.4821796,0.016646078,-0.069027774,0.020463986,SIT
-3.5913026,5.1526213,7.307403,0.016646078,-0.069027774,0.020463986,SIT
-3.5913026,5.1526213,7.307403,0.01786781,-0.009162978,-0.003970624,SIT
-3.6056678,5.0951605,7.3816233,0.01786781,-0.009162978,-0.003970624,SIT
-3.6056678,5.0951605,7.3816233,0.0038179078,-0.07819075,0.032070424,SIT
-3.502717,5.210082,7.3002205,0.0038179078,-0.07819075,0.032070424,SIT
-3.502717,5.210082,7.3002205,-0.0035124752,0.016493361,0.003970624,SIT
-3.5362358,5.1406503,7.343316,-0.0035124752,0.016493361,0.003970624,SIT
-3.5362358,5.1406503,7.343316,-0.0346666,0.018936822,-0.01985312,SIT
-3.7205894,5.0616417,7.4319015,-0.0346666,0.018936822,-0.01985312,SIT
-3.7205894,5.0616417,7.4319015,-0.030390546,0.040927973,-0.022907447,SIT
-3.4165258,5.2388124,7.498939,-0.030390546,0.040927973,-0.022907447,SIT
-3.4165258,5.2388124,7.498939,0.013591751,-0.007330383,0.01740966,SIT
-3.5625722,5.1645923,7.4175363,0.013591751,-0.007330383,0.01740966,SIT
-3.5625722,5.1645923,7.4175363,0.0062613687,0.035430185,-0.005192355,SIT
-3.655946,5.1909285,7.290643,0.0062613687,0.035430185,-0.005192355,SIT
-3.655946,5.1909285,7.290643,-0.0010690142,0.027488936,-0.024740042,SIT
-3.6583402,5.1454387,7.3744407,-0.0010690142,0.027488936,-0.024740042,SIT
-3.6583402,5.1454387,7.3744407,-0.0096211275,0.032986723,0.022907447,SIT
-3.7924154,5.1191025,7.4079595,-0.0096211275,0.032986723,0.022907447,SIT
-3.7924154,5.1191025,7.4079595,-0.030390546,0.043982297,-0.034513887,SIT
-3.9791632,4.8722005,7.4319015,-0.030390546,0.043982297,-0.034513887,SIT
-3.9791632,4.8722005,7.4319015,-0.07315111,0.099571034,-0.027794369,SIT
-3.9552212,5.123891,7.0057335,-0.07315111,0.099571034,-0.027794369,SIT
-3.9552212,5.123891,7.0057335,-0.038331795,0.062308256,0.10354166,SIT
-4.5178585,4.4005427,8.6457615,-0.038331795,0.062308256,0.10354166,SIT
-4.5178585,4.4005427,8.6457615,-0.7060075,-0.086132,0.29535335,SIT
-2.9616275,4.213795,12.56507,-0.7060075,-0.086132,0.29535335,SIT
-2.9616275,4.213795,12.56507,-0.6113234,-0.32620203,0.5885687,SIT
-3.2249897,2.8898015,8.583512,-0.6113234,-0.32620203,0.5885687,SIT
-3.2249897,2.8898015,8.583512,-0.17455475,0.064751714,0.10720685,SIT
-1.127669,2.7748797,9.471761,-0.17455475,0.064751714,0.10720685,SIT
-1.127669,2.7748797,9.471761,0.18524489,-0.93523467,0.71929383,SIT
-1.2856863,2.6743233,7.8868,0.18524489,-0.93523467,0.71929383,SIT
-1.2856863,2.6743233,7.8868,0.08384126,-0.07574729,0.60139686,SIT
-0.8810662,3.7972038,7.8341274,0.08384126,-0.07574729,0.60139686,SIT
-0.8810662,3.7972038,7.8341274,0.3129157,0.36651915,0.37782016,SIT
-0.62009823,4.879383,7.1613564,0.3129157,0.36651915,0.37782016,SIT
-0.62009823,4.879383,7.1613564,0.37888917,-0.084910266,0.19272798,SIT
-0.059855044,2.9233203,9.5052805,0.37888917,-0.084910266,0.19272798,UNKNOWN
-0.059855044,2.9233203,9.5052805,-0.4830417,-0.15821409,-0.17379116,UNKNOWN
-1.532289,3.6655228,5.5476646,-0.4830417,-0.15821409,-0.17379116,UNKNOWN
-1.532289,3.6655228,5.5476646,-0.024281893,-0.22418754,-0.13347405,UNKNOWN
0.30406362,3.7205894,9.455002,-0.024281893,-0.22418754,-0.13347405,STAND
0.30406362,3.7205894,9.455002,-0.23441954,-0.13439035,0.008857546,STAND
0.35673606,3.466804,8.755895,-0.23441954,-0.13439035,0.008857546,STAND
0.35673606,3.466804,8.755895,0.05085453,-0.26206118,-0.3051272,STAND
-0.521936,3.0550013,9.778219,0.05085453,-0.26206118,-0.3051272,STAND
-0.521936,3.0550013,9.778219,-0.3022256,-0.27488935,-0.52931476,STAND
0.31364042,2.966416,10.113407,-0.3022256,-0.27488935,-0.52931476,STAND
0.31364042,2.966416,10.113407,-0.15745051,-0.1826487,-0.22632557,STAND
0.04070143,2.918532,8.5476,-0.15745051,-0.1826487,-0.22632557,STAND
0.04070143,2.918532,8.5476,0.28115073,-0.106901415,-0.14569137,STAND
0.06464344,3.3901896,8.8205385,0.28115073,-0.106901415,-0.14569137,STAND
0.06464344,3.3901896,8.8205385,-0.039553523,-0.118507855,-0.11575896,STAND
-0.04309563,3.2034419,9.387964,-0.039553523,-0.118507855,-0.11575896,STAND
-0.04309563,3.2034419,9.387964,-0.12629639,-0.080634214,-0.183565,STAND
-0.24899697,3.1651347,9.253889,-0.12629639,-0.080634214,-0.183565,STAND
-0.24899697,3.1651347,9.253889,-0.026725354,0.023823744,-0.20799962,STAND
0.2657564,3.1890767,9.208399,-0.026725354,0.023823744,-0.20799962,STAND
